Cluster,avg_num_of_travellers,total_travellers,avg_profit,total_profit,avg_spending,total_spending,most_common_tours,most_common_travel_day,count_listings
0,2.0899653979238755,3020.0,21.91080276816609,31661.11,45.53545328719723,65798.73,STL535_492EN,Thursday,1445
1,4.189922480620155,1081.0,73.18356589147287,18881.36,99.30720930232557,25621.26,STL535_492EN,Sunday,258
2,7.9523809523809526,167.0,162.57619047619048,3414.1,188.5757142857143,3960.09,STL535_492EN,Monday,21
