Cluster,avg_num_of_travellers,total_travellers,avg_profit,total_profit,avg_spending,total_spending,most_common_tours,most_common_travel_days,count_listings
0,2.1248847076185204,11519.0,18.010444567422983,97634.62,42.15856852979155,228541.6,TO240_181_51_459DE,Friday,5421
1,4.757697456492637,3554.0,73.67421686746988,55034.64,106.81376171352076,79789.88,TO240_181_51_278DE,Wednesday,747
2,23.8,119.0,439.5,2197.5,473.7,2368.5,TO240_181_51_278DE,Tuesday,5
