antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'492EN'}),frozenset({'STL535'}),0.660092807424594,0.660092807424594,0.660092807424594,1.0,1.5149384885764499,0.22437029301091188,inf,1.0
frozenset({'STL535'}),frozenset({'492EN'}),0.660092807424594,0.660092807424594,0.660092807424594,1.0,1.5149384885764499,0.22437029301091188,inf,1.0
frozenset({'426EN'}),frozenset({'STL541'}),0.01740139211136891,0.01740139211136891,0.01740139211136891,1.0,57.46666666666667,0.017098583663955298,inf,1.0
frozenset({'STL541'}),frozenset({'426EN'}),0.01740139211136891,0.01740139211136891,0.01740139211136891,1.0,57.46666666666667,0.017098583663955298,inf,1.0
