antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'51'}),frozenset({'181'}),0.21027053296614287,0.2246881581078892,0.21027053296614287,1.0,4.450612833453497,0.16302523420961604,inf,0.9817435897435897
"frozenset({'51', '278DE'})","frozenset({'181', 'TO240'})",0.06917220152276041,0.20784059614450023,0.06917220152276041,1.0,4.811379579111458,0.05479540992164238,inf,0.8510268012530455
frozenset({'278DE'}),"frozenset({'51', 'TO240'})",0.06917220152276041,0.20784059614450023,0.06917220152276041,1.0,4.811379579111458,0.05479540992164238,inf,0.8510268012530455
"frozenset({'TO240', '278DE'})",frozenset({'51'}),0.06917220152276041,0.21027053296614287,0.06917220152276041,1.0,4.7557781201849,0.054627325842128135,inf,0.84841628959276
"frozenset({'51', '278DE'})",frozenset({'TO240'}),0.06917220152276041,0.20784059614450023,0.06917220152276041,1.0,4.811379579111458,0.05479540992164238,inf,0.8510268012530455
frozenset({'278DE'}),"frozenset({'51', '181', 'TO240'})",0.06917220152276041,0.20784059614450023,0.06917220152276041,1.0,4.811379579111458,0.05479540992164238,inf,0.8510268012530455
"frozenset({'TO240', '278DE'})","frozenset({'51', '181'})",0.06917220152276041,0.21027053296614287,0.06917220152276041,1.0,4.7557781201849,0.054627325842128135,inf,0.84841628959276
"frozenset({'181', '278DE'})","frozenset({'51', 'TO240'})",0.06917220152276041,0.20784059614450023,0.06917220152276041,1.0,4.811379579111458,0.05479540992164238,inf,0.8510268012530455
"frozenset({'181', 'TO240', '278DE'})",frozenset({'51'}),0.06917220152276041,0.21027053296614287,0.06917220152276041,1.0,4.7557781201849,0.054627325842128135,inf,0.84841628959276
"frozenset({'459DE', '51', 'TO240'})",frozenset({'181'}),0.13866839462173983,0.2246881581078892,0.13866839462173983,1.0,4.450612833453497,0.10751124844640317,inf,0.9001316531878879
"frozenset({'51', 'TO240', '278DE'})",frozenset({'181'}),0.06917220152276041,0.2246881581078892,0.06917220152276041,1.0,4.450612833453497,0.05363002697034364,inf,0.8329272537417333
"frozenset({'51', '181', '278DE'})",frozenset({'TO240'}),0.06917220152276041,0.20784059614450023,0.06917220152276041,1.0,4.811379579111458,0.05479540992164238,inf,0.8510268012530455
frozenset({'278DE'}),frozenset({'TO240'}),0.06917220152276041,0.20784059614450023,0.06917220152276041,1.0,4.811379579111458,0.05479540992164238,inf,0.8510268012530455
frozenset({'STL55'}),frozenset({'447DE'}),0.08893568767212053,0.09865543495869107,0.08893568767212053,1.0,10.136288998357964,0.08016169872147717,inf,0.9893314366998578
frozenset({'STL107'}),frozenset({'226DE'}),0.1310545925805929,0.1542199902802527,0.1310545925805929,1.0,6.484243697478992,0.11084335458663139,inf,0.9733407904548844
"frozenset({'459DE', 'TO240'})","frozenset({'51', '181'})",0.13866839462173983,0.21027053296614287,0.13866839462173983,1.0,4.7557781201849,0.10951051737906717,inf,0.9168704156479218
"frozenset({'181', '278DE'})",frozenset({'TO240'}),0.06917220152276041,0.20784059614450023,0.06917220152276041,1.0,4.811379579111458,0.05479540992164238,inf,0.8510268012530455
"frozenset({'TO240', '278DE'})",frozenset({'181'}),0.06917220152276041,0.2246881581078892,0.06917220152276041,1.0,4.450612833453497,0.05363002697034364,inf,0.8329272537417333
frozenset({'278DE'}),"frozenset({'181', 'TO240'})",0.06917220152276041,0.20784059614450023,0.06917220152276041,1.0,4.811379579111458,0.05479540992164238,inf,0.8510268012530455
"frozenset({'51', '278DE'})",frozenset({'181'}),0.06917220152276041,0.2246881581078892,0.06917220152276041,1.0,4.450612833453497,0.05363002697034364,inf,0.8329272537417333
"frozenset({'181', '278DE'})",frozenset({'51'}),0.06917220152276041,0.21027053296614287,0.06917220152276041,1.0,4.7557781201849,0.054627325842128135,inf,0.84841628959276
frozenset({'278DE'}),"frozenset({'51', '181'})",0.06917220152276041,0.21027053296614287,0.06917220152276041,1.0,4.7557781201849,0.054627325842128135,inf,0.84841628959276
frozenset({'278DE'}),frozenset({'51'}),0.06917220152276041,0.21027053296614287,0.06917220152276041,1.0,4.7557781201849,0.054627325842128135,inf,0.84841628959276
frozenset({'278DE'}),frozenset({'181'}),0.06917220152276041,0.2246881581078892,0.06917220152276041,1.0,4.450612833453497,0.05363002697034364,inf,0.8329272537417333
frozenset({'STL403'}),frozenset({'226DE'}),0.02316539769965981,0.1542199902802527,0.02316539769965981,1.0,6.484243697478992,0.019592830291580085,inf,0.8658374792703151
frozenset({'STL454'}),frozenset({'433DE'}),0.020573465089907664,0.020573465089907664,0.020573465089907664,1.0,48.60629921259842,0.020150197624102015,inf,1.0
frozenset({'433DE'}),frozenset({'STL454'}),0.020573465089907664,0.020573465089907664,0.020573465089907664,1.0,48.60629921259842,0.020150197624102015,inf,1.0
frozenset({'STL51'}),frozenset({'459DE'}),0.014417625141746314,0.1555159565851288,0.014417625141746314,1.0,6.430208333333333,0.012175454376141833,inf,0.8568376068376069
frozenset({'STL51'}),frozenset({'181'}),0.014417625141746314,0.2246881581078892,0.014417625141746314,1.0,4.450612833453497,0.01117815550435734,inf,0.7866535174227481
"frozenset({'459DE', 'STL51'})",frozenset({'181'}),0.014417625141746314,0.2246881581078892,0.014417625141746314,1.0,4.450612833453497,0.01117815550435734,inf,0.7866535174227481
"frozenset({'STL51', '181'})",frozenset({'459DE'}),0.014417625141746314,0.1555159565851288,0.014417625141746314,1.0,6.430208333333333,0.012175454376141833,inf,0.8568376068376069
frozenset({'STL51'}),"frozenset({'459DE', '181'})",0.014417625141746314,0.1555159565851288,0.014417625141746314,1.0,6.430208333333333,0.012175454376141833,inf,0.8568376068376069
frozenset({'TO107'}),frozenset({'403DE'}),0.013445650413089259,0.013445650413089259,0.013445650413089259,1.0,74.37349397590361,0.013264864898058252,inf,1.0
"frozenset({'459DE', '181', 'TO240'})",frozenset({'51'}),0.13866839462173983,0.21027053296614287,0.13866839462173983,1.0,4.7557781201849,0.10951051737906717,inf,0.9168704156479218
frozenset({'403DE'}),frozenset({'TO107'}),0.013445650413089259,0.013445650413089259,0.013445650413089259,1.0,74.37349397590361,0.013264864898058252,inf,1.0
"frozenset({'459DE', '51'})",frozenset({'181'}),0.14109833144338246,0.2246881581078892,0.14109833144338246,1.0,4.450612833453497,0.10939520723927239,inf,0.902678234628442
"frozenset({'181', 'TO240'})",frozenset({'51'}),0.20784059614450023,0.21027053296614287,0.20784059614450023,1.0,4.7557781201849,0.16413784322119532,inf,0.9969325153374233
frozenset({'459DE'}),frozenset({'181'}),0.1555159565851288,0.2246881581078892,0.1555159565851288,1.0,4.450612833453497,0.12057336274362973,inf,0.9180893919048531
"frozenset({'459DE', 'TO240'})",frozenset({'181'}),0.13866839462173983,0.2246881581078892,0.13866839462173983,1.0,4.450612833453497,0.10751124844640317,inf,0.9001316531878879
frozenset({'TO240'}),frozenset({'181'}),0.20784059614450023,0.2246881581078892,0.20784059614450023,1.0,4.450612833453497,0.16114127541674683,inf,0.9787321063394684
frozenset({'TO240'}),frozenset({'51'}),0.20784059614450023,0.21027053296614287,0.20784059614450023,1.0,4.7557781201849,0.16413784322119532,inf,0.9969325153374233
frozenset({'TO240'}),"frozenset({'51', '181'})",0.20784059614450023,0.21027053296614287,0.20784059614450023,1.0,4.7557781201849,0.16413784322119532,inf,0.9969325153374233
"frozenset({'459DE', 'TO240'})",frozenset({'51'}),0.13866839462173983,0.21027053296614287,0.13866839462173983,1.0,4.7557781201849,0.10951051737906717,inf,0.9168704156479218
"frozenset({'51', 'TO240'})",frozenset({'181'}),0.20784059614450023,0.2246881581078892,0.20784059614450023,1.0,4.450612833453497,0.16114127541674683,inf,0.9787321063394684
frozenset({'51'}),"frozenset({'181', 'TO240'})",0.21027053296614287,0.20784059614450023,0.20784059614450023,0.9884437596302003,4.7557781201849,0.16413784322119532,68.54819374696228,1.0
frozenset({'51'}),frozenset({'TO240'}),0.21027053296614287,0.20784059614450023,0.20784059614450023,0.9884437596302003,4.7557781201849,0.16413784322119532,68.54819374696228,1.0
"frozenset({'51', '181'})",frozenset({'TO240'}),0.21027053296614287,0.20784059614450023,0.20784059614450023,0.9884437596302003,4.7557781201849,0.16413784322119532,68.54819374696228,1.0
"frozenset({'459DE', '51', '181'})",frozenset({'TO240'}),0.14109833144338246,0.20784059614450023,0.13866839462173983,0.9827784156142365,4.72851999967785,0.10934243329955293,45.998056050542694,0.9180530975791183
